MainCluster,SubCluster,x,y
0,1,-3.1401753899763607,-129.71886616276143
0,2,-8.883511975557187,-147.97584229224157
0,3,-15.028282046360841,-140.59895946159855
0,4,1.8036833602614246,-143.2878013421616
0,5,-13.267802902689123,-128.09236647220396
1,6,31.84014323516213,-189.07440553847292
1,7,53.00443667769234,-182.2463282225148
1,8,42.52259745721836,-197.24281439867926
1,9,55.507446831068776,-195.9046667941769
1,10,40.17717162327311,-181.16095147570599
2,11,76.41652868166514,-192.8186429942607
2,12,86.81122056325695,-192.11703249377496
2,13,84.18870782146426,-179.2522033892271
2,14,65.90397134163375,-193.39730477037855
2,15,68.89602277043552,-181.59775497204535
3,16,26.81693167881746,-151.94826124067382
3,17,24.279953611474607,-142.00634277407642
3,18,13.416463873052285,-148.48777360791777
3,19,36.22184822304699,-141.42395748653138
3,20,15.550686506806002,-136.3320964023435
4,21,83.95584592092453,-222.5893797681951
4,22,65.30035636499397,-206.4695383043683
4,23,76.34411625472424,-204.40011179291372
4,24,86.91556925382808,-207.35252299418613
4,25,74.69412949908157,-215.5241056703079
5,26,37.456639664483184,-158.51060925088512
5,27,52.4004855728358,-156.7086255163661
5,28,50.52206596691375,-168.4207067842249
5,29,38.5405913622716,-169.51749679431373
5,30,44.16683027576986,-148.48190101567099
6,31,5.969434486304607,-160.82426233779483
6,32,22.59105578820162,-180.04185957353008
6,33,27.474307008318256,-169.97373194690192
6,34,13.466839448676291,-171.00095288967105
6,35,19.76733435478554,-160.6580395045975
7,36,117.16716986678951,-217.8517270985519
7,37,107.75286525996775,-212.12887155549015
7,38,97.64211748260456,-218.88369670747906
7,39,110.9447282045751,-220.74322735984182
7,40,96.68397893319724,-209.52390557501184
8,41,74.09162585637128,-155.85201276544265
8,42,63.4663250340143,-170.5403969693695
8,43,76.15651480758932,-169.07487746809474
8,44,63.341543445029586,-156.78062686620552
8,45,82.13119610365894,-160.649117516252
9,46,113.98793445723496,-204.2698260093139
9,47,95.84914468584343,-198.53674612093948
9,48,113.31593223913124,-193.68310454232807
9,49,120.5148595097208,-198.39606943865616
9,50,104.90265845182037,-201.73280666927553
