Latitude,Longitude
-82.1960223016027,-157.302326101165
-114.348367953638,-212.765139752867
-115.73141894383,-216.290951602403
-116.493144295531,-218.074182232635
-116.513428555393,-220.82957435956
-115.610540852405,-224.41283135597
-104.708058832799,-243.745142005336
-32.3299963519186,-372.702127153733
-29.6911863468483,-378.698198875766
-28.5348128948316,-382.626582242606
-28.2401307657802,-388.028017627562
-30.0512611139399,-393.164150991329
-32.47133364237,-396.987141492669
-35.3755437259827,-399.945156093291
-221.396143886028,-504.695743359131
-224.098991569966,-505.675118219148
-225.017517746273,-507.888910606663
-225.621786824597,-509.777364777564
-225.462710647457,-512.128210731083
-224.643571595729,-514.764306609032
-219.229991818946,-524.312091018912
-126.898758904694,-712.78605442132
-123.98903418596,-715.451743503792
-120.647872591253,-716.287285399698
-117.253639349274,-715.033495990669
-110.667659053194,-710.295375635899
-91.1236725448618,-695.235915240842
-83.3722797773994,-685.991325210848
209.650095878224,-179.238586994873
210.80280977483,-175.792340268502
210.481045346961,-174.898738492664
209.182625802964,-172.323542060528
199.352844314009,-169.028419201012
111.199367177855,-115.491104000426
0.529255098554449,-5.8900868233661
107.982203841232,-118.739648915536
108.026455278717,-118.694965830723
108.891127294232,-119.291805829483
-114.348367953638,-212.765139752867
-115.73141894383,-216.290951602403
-116.493144295531,-218.074182232635
-116.513428555393,-220.82957435956
-115.610540852405,-224.41283135597
-104.708058832799,-243745142005336
-32.3299963519186,-372702127153733
-296911863468483,-378698198875766
-285348128948316,-382626582242606
-282401307657802,-388028017627562
-300512611139399,-393164150991329
-3247133364237000,-396987141492669
