Point,Latitude,Longitude
p30,-8.3,-126
p31,-2.3,-120.5
p32,4.5,-127
p33,-1.6,-133
p34,5.4,-139.5
p35,17.4,-128
p36,29.2,-139.5
p37,37.2,-133
p38,56.2,-152
p39,62.4,-147
p40,69.2,-153
p41,75.2,-147.5
p42,89.2,-160.5
p43,82.2,-167.5
p44,94.4,-179
p45,88.4,-185.5
p46,102.2,-198
p47,114.2,-187
p48,126.4,-198
p49,114.7,-211
p50,123.2,-218.5
p51,114.2,-226.5
p52,106.4,-220
p53,99.4,-225.5
p54,94.4,-220
p55,83.2,-232
p56,51.4,-200
p57,42.2,-207
p58,-3.6,-162
p59,5.4,-154
p60,-0.3,-148
p61,-9.6,-156
p62,-23.6,-142
p63,-14.3,-133.5
p64,-20.6,-127
p65,-13.6,-120
