Label,X,Y
a1,-82.1960223016027,-157.302326101165
a2,-114.348367953638,-212.765139752867
a3,-115.73141894383,-216.290951602403
a4,-116.493144295531,-218.074182232635
a5,-116.513428555393,-220.82957435956
a6,-115.610540852405,-224.41283135597
a7,-104.708058832799,-243.745142005336
a8,-32.3299963519186,-372.702127153733
a9,-29.6911863468483,-378.698198875766
a10,-28.5348128948316,-382.626582242606
a11,-28.2401307657802,-388.028017627562
a12,-30.0512611139399,-393.164150991329
a13,-32.47133364237,-396.987141492669
a14,-35.3755437259827,-399.945156093291
a15,-221.396143886028,-504.695743359131
a16,-224.098991569966,-505.675118219148
a17,-225.017517746273,-507.888910606663
a18,-225.621786824597,-509.777364777564
a19,-225.462710647457,-512.128210731083
a20,-224.643571595729,-514.764306609032
a21,-219.229991818946,-524.312091018912
a22,-126.898758904694,-712.78605442132
a23,-123.98903418596,-715.451743503792
a24,-120.647872591253,-716.287285399698
a25,-117.253639349274,-715.033495990669
a26,-110.667659053194,-710.295375635899
a27,-91.1236725448618,-695.235915240842
a28,-83.3722797773994,-685.991325210848
a29,209.650095878224,-179.238586994873
a30,210.80280977483,-175.792340268502
a31,210.481045346961,-174.898738492664
a32,209.182625802964,-172.323542060528
a33,199.352844314009,-169.028419201012
a34,111.199367177855,-115.491104000426
a35,0.529255098554449,-5.8900868233661
a36,107.982203841232,-118.739648915536
a37,108.026455278717,-118.694965830723
a38,108.891127294232,-119.291805829483
a39,-114.348367953638,-212.765139752867
a40,-115.73141894383,-216.290951602403
a41,-116.493144295531,-218.074182232635
a42,-116.513428555393,-220.82957435956
a43,-115.610540852405,-224.41283135597
a44,-104.708058832799,-243.745142005336
a45,-32.3299963519186,-372.702127153733
a46,-29.6911863468483,-378.698198875766
a47,-28.5348128948316,-382.626582242606
a48,-28.2401307657802,-388.028017627562
a49,-30.0512611139399,-393.164150991329
a50,-32.47133364237,-396.987141492669
a51,-35.3755437259827,-399.945156093291
a52,-221.396143886028,-504.695743359131
a53,-224.098991569966,-505.675118219148
a54,-225.017517746273,-507.888910606663
a55,-225.621786824597,-509.777364777564
a56,-225.462710647457,-512.128210731083
a57,-224.643571595729,-514.764306609032
a58,-219.229991818946,-524.312091018912
a59,-126.898758904694,-712.78605442132
a60,-123.98903418596,-715.451743503792
a61,-120.647872591253,-716.287285399698
a62,-117.253639349274,-715.033495990669
a63,-110.667659053194,-710.295375635899
a64,-91.1236725448618,-695.235915240842
a65,-83.3722797773994,-685.991325210848
a66,209.650095878224,-179.238586994873
a67,210.80280977483,-175.792340268502
a68,210.481045346961,-174.898738492664
a69,209.182625802964,-172.323542060528
a70,199.352844314009,-169.028419201012
a71,111.199367177855,-115.491104000426
a72,0.529255098554449,-5.8900868233661
a73,-82.1960223016027,-157.302326101165
a74,108.026455278717,-118.694965830723
a75,108.891127294232,-119.291805829483
a76,108.826095144019,-119.398886473058
